date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-24,RS,Água Santa,city,12,0,True,3748,4300059,320.17076,0.0
2020-06-24,RS,Agudo,city,2,0,True,16461,4300109,12.14993,0.0
2020-06-24,RS,Ajuricaba,city,2,0,True,7024,4300208,28.4738,0.0
2020-06-24,RS,Alecrim,city,2,0,True,5950,4300307,33.61345,0.0
2020-06-24,RS,Alegrete,city,34,5,True,73589,4300406,46.20256,0.1471
2020-06-24,RS,Alpestre,city,13,0,True,6258,4300505,207.7341,0.0
2020-06-24,RS,Alto Feliz,city,4,0,True,3028,4300570,132.1004,0.0
2020-06-24,RS,Alvorada,city,274,8,True,210305,4300604,130.28696,0.0292
2020-06-24,RS,Ametista do Sul,city,9,0,True,7409,4300646,121.47388,0.0
2020-06-24,RS,André da Rocha,city,0,0,True,1333,4300661,,0.0
2020-06-24,RS,Anta Gorda,city,9,0,True,5981,4300703,150.47651,0.0
2020-06-24,RS,Antônio Prado,city,10,0,True,13050,4300802,76.62835,0.0
2020-06-24,RS,Araricá,city,7,1,True,5698,4300877,122.85012,0.1429
2020-06-24,RS,Aratiba,city,7,0,True,6235,4300901,112.26945,0.0
2020-06-24,RS,Arroio do Meio,city,139,0,True,20805,4301008,668.10863,0.0
2020-06-24,RS,Arroio do Sal,city,12,1,True,10065,4301057,119.22504,0.0833
2020-06-24,RS,Arroio dos Ratos,city,13,1,True,14151,4301107,91.8663,0.0769
2020-06-24,RS,Arroio Grande,city,6,0,True,18293,4301305,32.79943,0.0
2020-06-24,RS,Arvorezinha,city,6,0,True,10424,4301404,57.55948,0.0
2020-06-24,RS,Áurea,city,1,0,True,3554,4301552,28.13731,0.0
2020-06-24,RS,Bagé,city,100,0,True,121143,4301602,82.54707,0.0
2020-06-24,RS,Balneário Pinhal,city,10,0,True,14068,4301636,71.08331,0.0
2020-06-24,RS,Barão,city,7,0,True,6171,4301651,113.4338,0.0
2020-06-24,RS,Barão de Cotegipe,city,53,1,True,6623,4301701,800.24158,0.0189
2020-06-24,RS,Barracão,city,4,0,True,5275,4301800,75.82938,0.0
2020-06-24,RS,Barra do Ribeiro,city,12,0,True,13491,4301909,88.94819,0.0
2020-06-24,RS,Barra Funda,city,1,0,True,2539,4301958,39.38558,0.0
2020-06-24,RS,Barros Cassal,city,2,1,True,11199,4302006,17.85874,0.5
2020-06-24,RS,Benjamin Constant do Sul,city,20,0,True,1994,4302055,1003.00903,0.0
2020-06-24,RS,Bento Gonçalves,city,945,28,True,120454,4302105,784.53185,0.0296
2020-06-24,RS,Boa Vista das Missões,city,2,0,True,2098,4302154,95.32888,0.0
2020-06-24,RS,Boa Vista do Sul,city,13,1,True,2783,4302253,467.12181,0.0769
2020-06-24,RS,Bom Jesus,city,48,0,True,11349,4302303,422.94475,0.0
2020-06-24,RS,Bom Princípio,city,59,0,True,14055,4302352,419.77944,0.0
2020-06-24,RS,Bom Progresso,city,5,0,True,1942,4302378,257.46653,0.0
2020-06-24,RS,Bom Retiro do Sul,city,75,1,True,12328,4302402,608.37119,0.0133
2020-06-24,RS,Bossoroca,city,3,0,True,6279,4302501,47.77831,0.0
2020-06-24,RS,Braga,city,2,0,True,3353,4302600,59.64808,0.0
2020-06-24,RS,Brochier,city,12,0,True,5074,4302659,236.4998,0.0
2020-06-24,RS,Butiá,city,19,1,True,20941,4302709,90.7311,0.0526
2020-06-24,RS,Caçapava do Sul,city,116,2,True,33624,4302808,344.99167,0.0172
2020-06-24,RS,Cacequi,city,2,0,True,12561,4302907,15.9223,0.0
2020-06-24,RS,Cachoeira do Sul,city,93,0,True,82201,4303004,113.13731,0.0
