Intervalo de Datas: 01/02/2020 00:00:00 a 29/02/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
00:00:00 - 00:59:59,382.94,382.29,286.97,241.47,261.29,262.96,305.15,417.13,398.81,271.65,254.14,260.48,211.12,307.15,356.64,423.80,291.81,225.98,259.14,283.31,321.47,293.31,303.15,190.82,229.15,235.49,288.64,259.64,364.30,"8,570.20"
01:00:00 - 01:59:59,230.65,281.13,155.99,141.15,158.49,181.97,198.15,285.97,264.82,162.32,150.49,144.16,143.98,153.32,246.16,282.48,158.99,137.64,158.82,146.99,167.16,226.49,190.16,114.98,140.00,146.15,140.83,150.49,225.31,"5,285.24"
02:00:00 - 02:59:59,164.31,154.30,79.99,70.66,93.32,77.66,124.83,193.82,206.83,70.83,79.00,87.33,83.66,89.66,171.16,214.82,76.82,63.50,65.48,62.32,97.81,139.83,130.16,74.16,98.00,90.65,61.49,70.49,160.82,"3,153.71"
03:00:00 - 03:59:59,110.83,104.31,47.00,32.83,35.50,45.82,60.83,134.33,188.64,57.16,44.00,51.33,36.00,47.99,114.83,182.16,37.50,31.83,43.00,47.50,46.00,91.33,93.50,48.50,52.83,51.83,36.99,49.49,94.16,"2,018.02"
04:00:00 - 04:59:59,118.16,132.66,70.66,87.83,77.83,88.83,97.33,146.32,150.97,76.50,83.66,76.33,90.50,107.66,135.50,140.50,72.16,72.66,93.83,78.16,86.82,116.50,71.66,63.66,64.33,77.50,71.33,74.33,122.49,"2,746.67"
05:00:00 - 05:59:59,182.32,143.33,205.32,197.66,200.16,202.16,211.65,189.64,171.82,191.33,174.99,191.33,200.66,195.65,167.66,181.98,195.66,189.49,188.00,213.83,202.66,143.33,121.99,106.00,81.83,166.49,184.98,192.16,160.99,"5,155.07"
06:00:00 - 06:59:59,299.63,218.66,429.28,364.31,404.96,386.80,393.65,357.15,208.15,419.48,403.64,401.31,397.99,394.47,301.15,236.66,326.82,425.49,405.82,449.28,449.15,300.48,198.82,262.66,157.99,438.14,439.12,443.47,291.48,"10,206.01"
07:00:00 - 07:59:59,421.95,330.81,638.45,613.60,631.58,640.42,602.78,492.98,370.81,639.94,627.62,613.14,661.80,617.44,502.79,344.82,640.45,628.13,792.90,680.23,733.41,444.65,311.82,412.31,313.47,755.94,804.72,774.69,460.15,"16,503.80"
08:00:00 - 08:59:59,509.13,312.65,642.13,659.28,717.47,733.93,699.47,599.13,331.99,689.80,749.63,700.47,742.64,688.48,587.15,384.81,687.63,740.48,748.26,762.78,740.96,520.14,290.15,437.48,338.49,624.15,703.12,701.25,552.46,"17,595.51"
09:00:00 - 09:59:59,669.45,402.98,724.77,690.64,728.11,668.61,702.96,689.12,369.80,701.82,739.98,699.95,743.29,731.46,"1,345.26",464.30,745.78,690.47,683.79,709.30,687.48,540.79,357.65,490.49,382.81,582.62,647.29,687.96,661.97,"18,940.90"
10:00:00 - 10:59:59,663.62,572.96,761.44,740.95,767.44,743.62,785.45,762.95,570.15,743.81,750.46,732.63,776.63,748.62,796.46,584.30,760.46,733.45,789.95,732.48,697.28,659.46,464.14,546.78,504.14,648.32,741.13,684.13,781.46,"20,244.67"
11:00:00 - 11:59:59,812.96,725.10,759.45,787.13,748.61,827.21,766.30,889.27,675.65,796.95,773.10,721.45,793.79,756.29,797.47,719.78,780.77,774.78,743.78,765.95,777.30,719.96,590.29,473.79,583.82,666.15,765.63,743.29,804.29,"21,540.31"
12:00:00 - 12:59:59,842.90,633.79,741.61,772.63,795.92,708.11,770.95,907.78,646.81,802.96,756.44,730.27,770.79,758.30,927.26,650.30,737.62,755.12,794.78,769.45,804.44,759.09,491.80,504.81,546.30,669.94,814.95,827.28,882.94,"21,575.34"
13:00:00 - 13:59:59,761.24,516.95,678.78,656.77,683.08,691.44,772.79,829.59,545.81,711.97,719.77,720.80,716.44,735.42,790.96,611.46,774.95,739.46,712.28,790.12,797.46,699.46,384.49,492.27,490.29,733.99,778.79,747.78,839.10,"20,123.71"
14:00:00 - 14:59:59,763.10,468.27,760.93,750.58,881.25,775.44,839.59,812.62,576.14,822.44,769.97,792.25,809.42,829.76,820.63,550.98,759.42,833.45,743.94,774.92,846.11,638.44,416.97,523.97,571.63,777.93,795.46,815.44,795.60,"21,316.65"
15:00:00 - 15:59:59,799.92,565.95,808.09,770.73,841.92,876.22,915.10,880.93,651.63,836.12,860.12,859.58,811.60,873.93,917.73,623.95,790.43,887.78,825.27,892.94,969.10,649.96,439.29,540.30,624.31,812.28,767.78,823.90,837.08,"22,753.94"
16:00:00 - 16:59:59,749.59,620.95,967.57,"1,028.73","1,016.23",972.78,"1,037.44",892.60,691.12,930.43,990.68,902.94,953.58,"1,050.92",879.94,653.12,"1,106.91","1,011.95",939.08,909.77,"1,094.75",742.94,481.30,596.47,607.79,912.92,915.44,"1,018.56",880.08,"25,556.58"
17:00:00 - 17:59:59,864.43,665.78,"1,205.12","1,291.11","1,211.61","1,235.29","1,218.88",933.59,711.14,"1,263.56","1,260.66","1,242.86","1,207.50","1,254.64",756.30,666.96,"1,224.55","1,235.54","1,188.18","1,249.04","1,221.72",697.62,523.30,767.62,745.94,"1,276.22","1,210.97","1,243.31",948.92,"30,522.36"
