Intervalo de Datas: 01/03/2020 00:00:00 a 31/03/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
00:00:00 - 00:59:59,370.59,271.14,262.47,306.14,245.32,308.82,421.13,495.14,286.82,275.32,271.31,274.98,397.63,414.45,478.30,250.48,206.80,184.63,172.81,195.32,205.97,179.65,66.66,83.31,121.00,133.66,112.48,139.99,155.48,104.33,132.49,
01:00:00 - 01:59:59,315.63,148.49,143.33,170.16,159.16,201.49,308.16,344.64,160.83,158.16,153.32,141.32,254.16,250.81,375.30,113.16,129.33,111.31,93.49,86.82,125.99,84.82,48.00,58.49,93.49,59.16,50.16,102.48,101.16,68.33,62.83,
02:00:00 - 02:59:59,204.99,75.16,61.83,87.16,75.83,112.83,206.66,308.49,68.99,80.16,77.49,82.16,141.49,185.66,246.32,59.50,56.83,73.66,52.50,65.16,56.00,57.83,18.00,37.16,28.50,43.50,41.82,48.33,67.83,33.50,30.00,
03:00:00 - 03:59:59,149.50,41.00,32.16,52.33,63.00,50.83,137.33,209.00,45.00,35.50,54.33,62.00,46.50,125.82,221.81,41.50,42.33,47.33,33.83,32.16,43.33,45.33,23.00,14.50,30.33,24.00,25.00,32.00,41.50,17.00,29.00,
04:00:00 - 04:59:59,117.16,82.16,75.50,96.16,86.99,93.49,137.33,203.49,80.16,98.00,85.16,103.98,89.65,126.82,180.49,82.00,64.83,80.50,81.16,80.50,65.66,28.50,41.16,47.50,43.33,56.33,50.49,47.33,34.33,47.50,46.50,
05:00:00 - 05:59:59,147.32,188.16,205.83,175.00,209.14,196.49,175.82,206.65,171.99,160.49,204.99,193.33,199.50,177.16,201.32,183.00,174.65,174.33,150.50,156.66,95.83,64.33,156.83,127.50,103.50,91.16,97.66,72.33,65.33,115.83,115.33,
06:00:00 - 06:59:59,224.15,468.12,445.30,458.64,467.12,452.98,353.29,275.82,303.74,452.80,465.98,291.42,442.61,297.64,256.49,460.47,422.48,449.29,385.27,446.13,235.15,152.16,307.32,292.65,278.64,241.14,244.66,168.31,119.33,239.48,252.66,
07:00:00 - 07:59:59,345.63,794.22,815.21,764.22,743.07,744.56,501.47,400.29,805.58,764.37,781.22,751.21,765.56,513.28,381.13,793.40,758.34,765.41,746.25,742.26,413.66,259.29,522.13,477.62,458.97,474.14,472.12,375.96,258.98,509.30,500.81,
08:00:00 - 08:59:59,369.82,724.62,726.43,779.95,772.64,754.24,629.80,497.31,676.63,713.77,794.13,788.10,760.13,655.14,371.14,671.39,732.45,776.42,717.09,696.24,457.82,205.83,574.32,529.46,505.29,506.79,493.65,408.66,191.16,514.80,517.96,
09:00:00 - 09:59:59,458.80,665.10,659.63,725.13,753.31,704.65,695.97,604.31,699.47,690.96,759.14,755.81,722.63,702.14,483.14,644.97,739.64,696.62,656.61,694.62,527.45,272.99,541.80,456.30,469.31,454.16,494.80,426.15,219.33,520.32,541.79,
10:00:00 - 10:59:59,628.97,763.29,750.95,755.48,750.31,806.62,888.13,755.81,774.97,817.96,754.47,784.80,813.11,833.77,557.31,710.79,761.78,685.10,686.28,741.28,606.96,286.64,630.45,528.47,544.66,560.31,572.97,491.48,275.33,535.14,575.65,
11:00:00 - 11:59:59,759.80,740.13,840.63,782.30,770.29,808.14,941.10,904.29,807.96,773.31,791.80,759.47,803.63,871.77,729.12,691.12,806.76,747.79,727.62,707.30,724.62,363.98,562.30,476.80,530.96,531.47,567.98,515.14,338.14,571.65,599.29,
12:00:00 - 12:59:59,687.77,885.61,866.61,817.62,857.79,893.10,"1,023.12",800.64,878.12,803.29,848.79,856.43,821.94,997.76,629.96,797.13,769.44,698.13,697.62,735.94,700.76,356.46,605.47,518.12,543.94,551.96,611.11,531.12,354.97,526.46,577.32,
13:00:00 - 13:59:59,607.30,726.63,757.10,766.28,735.96,784.47,885.63,597.14,756.61,730.46,786.12,733.60,775.95,817.60,548.31,692.62,730.62,656.47,699.58,708.22,610.95,300.16,584.12,467.96,530.12,516.31,588.95,508.63,356.96,562.30,568.98,
14:00:00 - 14:59:59,572.78,789.96,780.45,882.95,777.11,889.60,950.58,645.96,846.28,770.97,844.13,766.78,870.44,837.27,579.46,808.94,784.09,781.42,760.08,813.59,607.94,303.97,654.77,535.11,576.45,590.80,632.97,506.13,308.49,608.46,628.11,
15:00:00 - 15:59:59,644.62,861.09,858.92,853.76,872.62,888.46,"1,007.92",660.81,772.94,911.95,861.78,836.77,889.27,865.09,682.62,877.43,881.24,912.76,814.23,869.89,602.28,336.14,639.76,594.78,588.62,593.61,733.94,490.11,329.14,635.93,696.95,
16:00:00 - 16:59:59,712.96,"1,020.44",988.75,"1,009.26","1,013.26","1,090.09",998.28,731.62,"1,013.09",966.45,975.61,978.42,"1,043.95",962.27,743.62,977.76,987.40,"1,013.25",984.23,"1,077.04",591.11,345.30,688.41,640.92,699.42,689.44,756.10,543.61,332.15,693.77,782.61,
