Intervalo de Datas: 01/04/2020 00:00:00 a 30/04/2020 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
00:00:00 - 00:59:59,160.82,130.49,159.66,151.99,184.98,98.32,134.15,172.00,134.33,168.50,131.82,195.99,126.50,112.99,136.82,125.16,155.66,144.16,171.66,126.99,153.82,149.32,125.83,175.82,182.82,166.47,100.14,120.49,151.00,164.16,"4,412.86"
01:00:00 - 01:59:59,74.16,82.83,84.33,97.33,107.83,71.33,67.83,73.82,69.49,101.83,72.16,125.99,59.33,78.99,64.83,80.50,81.00,113.33,130.66,81.99,98.33,77.49,83.50,109.66,110.33,113.14,52.49,61.99,91.66,46.16,"2,564.31"
02:00:00 - 02:59:59,38.83,27.33,43.00,46.00,67.33,34.66,38.33,29.33,44.00,60.33,38.00,66.83,31.50,26.83,30.50,40.83,49.66,59.33,63.00,29.00,62.50,44.00,28.66,35.33,84.33,96.66,29.50,41.66,48.33,45.50,"1,381.09"
03:00:00 - 03:59:59,31.00,26.83,22.00,34.16,45.33,25.00,19.33,28.00,23.83,41.50,56.33,46.16,27.00,19.50,22.50,29.00,37.00,54.50,68.83,26.33,34.00,31.33,35.50,24.50,61.00,79.16,19.50,21.00,42.83,39.33,"1,072.28"
04:00:00 - 04:59:59,57.83,48.32,56.99,45.33,46.50,43.33,65.00,53.33,63.50,34.00,42.00,39.50,49.83,57.00,67.33,53.33,54.50,65.16,56.50,43.83,32.50,61.33,50.66,55.33,63.83,56.33,47.83,48.50,58.00,44.83,"1,562.25"
05:00:00 - 05:59:59,111.00,129.33,105.83,90.33,80.33,65.83,117.33,124.49,110.16,58.50,87.50,69.16,117.33,122.99,108.33,120.66,132.33,79.83,80.50,133.66,71.83,136.16,118.16,148.66,82.66,61.83,113.50,103.83,109.50,152.49,"3,144.04"
06:00:00 - 06:59:59,264.13,249.66,277.30,204.15,160.15,264.82,274.81,248.48,288.14,169.15,202.32,133.99,271.98,260.99,276.81,301.99,295.32,192.49,169.33,282.16,181.49,198.00,295.49,281.99,234.82,146.99,275.47,253.81,303.80,298.81,"7,258.84"
07:00:00 - 07:59:59,535.79,509.14,543.79,399.81,271.47,559.15,511.14,561.13,577.47,326.65,395.62,277.15,549.97,554.65,587.14,533.14,558.13,405.82,274.31,580.99,355.15,574.30,561.30,572.48,421.83,270.48,455.10,580.45,595.96,539.15,"14,438.66"
08:00:00 - 08:59:59,573.47,542.14,498.64,383.15,226.16,545.82,554.81,556.63,594.98,319.14,405.64,230.99,591.15,502.48,583.97,603.82,548.98,470.64,242.99,587.47,399.16,595.31,611.48,567.30,476.33,218.49,564.61,579.31,641.97,541.96,"14,758.99"
09:00:00 - 09:59:59,545.13,523.64,515.14,458.46,275.15,512.99,504.61,599.47,563.81,368.82,499.81,339.48,548.48,571.98,549.46,581.98,544.31,494.47,292.14,598.48,409.66,585.47,616.99,664.65,524.14,275.49,543.14,663.81,606.31,540.47,"15,317.94"
10:00:00 - 10:59:59,571.98,623.66,613.47,529.82,390.48,560.99,609.13,648.99,596.31,481.63,654.15,526.15,608.13,607.65,612.96,589.81,609.48,644.64,384.48,655.14,493.79,652.48,672.30,697.65,689.13,453.82,572.65,646.15,656.14,675.97,"17,729.13"
11:00:00 - 11:59:59,633.97,582.14,661.14,651.13,442.14,604.97,706.11,664.96,706.32,692.30,672.13,625.82,650.14,672.80,677.96,704.97,652.98,687.80,501.14,690.48,576.65,651.47,695.97,714.31,723.64,520.98,612.31,651.81,653.31,738.81,"19,420.66"
12:00:00 - 12:59:59,676.97,604.65,687.29,666.81,377.47,687.13,700.80,720.48,682.97,564.82,681.12,579.47,621.97,617.45,614.63,640.13,663.11,711.97,461.82,703.30,508.66,664.81,702.78,721.81,696.13,445.49,627.63,677.47,666.81,747.14,"19,123.09"
13:00:00 - 13:59:59,604.45,528.13,626.62,588.79,390.31,631.13,633.78,716.62,753.45,447.31,610.65,453.65,638.46,637.96,625.45,686.97,729.80,661.14,443.49,688.30,494.81,657.46,636.14,680.64,634.63,444.64,670.28,669.80,644.96,687.47,"18,317.29"
14:00:00 - 14:59:59,685.96,641.31,699.79,607.97,362.49,723.14,765.79,752.79,811.96,397.99,671.97,395.83,662.47,739.29,678.46,738.80,760.80,678.28,420.98,772.62,446.82,804.79,724.48,761.31,633.31,439.14,698.46,753.46,762.47,784.79,"19,777.72"
15:00:00 - 15:59:59,786.77,753.47,762.96,643.29,386.12,758.64,847.94,889.28,944.28,483.47,693.14,521.48,854.63,808.43,727.64,707.80,785.79,711.46,472.81,862.30,518.47,849.28,833.97,857.28,724.79,477.80,816.64,810.78,835.77,934.11,"22,060.59"
16:00:00 - 16:59:59,865.62,790.29,917.11,665.61,435.98,918.79,996.75,965.12,"1,055.94",506.48,761.64,579.32,881.95,815.76,921.62,903.78,958.63,744.46,523.15,915.81,589.64,975.93,908.46,991.23,752.12,488.98,999.93,952.96,898.79,"1,072.09","24,753.94"
