Intervalo de Datas: 01/05/2020 00:00:00 a 18/05/2020 23:59:59,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião defronte nro 702 - C/B,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4AP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4BP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
00:00:00 - 00:59:59,216.31,156.66,198.66,116.50,129.83,151.65,131.49,162.16,212.66,218.16,164.50,88.64,145.98,155.33,155.33,202.49,231.66,125.99,"2,964.00"
01:00:00 - 01:59:59,114.33,114.66,106.83,58.50,63.49,89.83,77.50,93.99,114.33,139.99,71.83,75.00,77.83,71.33,79.83,122.32,162.66,73.00,"1,707.25"
02:00:00 - 02:59:59,69.33,62.83,86.50,34.83,29.50,39.83,40.50,43.50,67.16,78.00,52.33,51.00,49.83,41.50,51.00,62.00,117.83,35.83,"1,013.30"
03:00:00 - 03:59:59,61.00,52.00,58.50,16.00,27.33,26.50,31.83,29.83,68.66,62.00,27.83,25.33,28.50,27.50,23.50,49.00,60.00,23.00,698.31
04:00:00 - 04:59:59,34.33,38.83,32.50,37.83,54.50,37.00,45.50,44.33,62.00,46.83,49.00,53.33,42.66,55.00,41.00,53.33,45.33,33.33,806.63
05:00:00 - 05:59:59,81.33,71.00,77.33,112.00,118.00,137.00,119.66,122.83,79.99,67.50,89.00,130.83,114.33,97.50,101.99,92.33,92.50,126.83,"1,831.95"
06:00:00 - 06:59:59,192.99,200.98,158.99,300.82,323.49,310.31,271.99,259.33,218.48,123.33,211.83,339.99,302.16,252.82,238.32,199.00,148.82,214.82,"4,268.47"
07:00:00 - 07:59:59,364.31,414.32,302.81,571.81,566.97,505.98,547.13,506.46,435.32,264.99,426.96,540.48,464.79,487.98,473.47,414.65,300.32,586.13,"8,174.88"
08:00:00 - 08:59:59,411.15,446.30,268.66,581.96,669.31,522.98,540.82,517.99,500.81,241.15,447.98,673.16,490.27,496.97,526.65,491.66,266.49,635.98,"8,730.29"
09:00:00 - 09:59:59,413.15,430.61,336.48,637.46,678.30,658.32,570.65,617.98,595.15,549.66,569.48,640.31,501.59,582.48,525.30,548.31,318.49,633.14,"9,806.86"
10:00:00 - 10:59:59,543.80,648.14,411.49,666.32,669.14,604.65,551.63,617.65,700.80,972.32,661.47,672.81,637.47,584.31,677.65,638.46,554.49,594.96,"11,407.56"
11:00:00 - 11:59:59,648.97,782.95,521.97,725.81,717.31,588.80,575.49,647.98,800.46,"1,159.64",711.79,726.14,713.99,721.15,643.81,737.14,571.81,763.80,"12,759.01"
12:00:00 - 12:59:59,570.65,756.44,492.66,677.47,761.29,614.48,637.48,732.63,887.13,962.63,687.79,722.33,663.65,668.14,701.32,879.14,538.97,724.65,"12,678.85"
13:00:00 - 13:59:59,556.98,706.30,465.47,640.15,655.98,729.47,678.31,728.29,867.64,623.81,729.46,714.98,666.31,653.15,699.49,748.98,486.16,683.65,"12,034.58"
14:00:00 - 14:59:59,574.46,712.30,481.97,755.64,690.98,728.15,755.29,810.80,897.28,513.14,766.80,794.82,751.47,813.80,845.62,756.81,472.31,735.97,"12,857.61"
15:00:00 - 15:59:59,593.47,785.45,549.14,868.79,789.64,868.64,912.30,889.64,931.29,698.47,847.92,877.96,903.14,896.97,971.79,841.46,507.80,859.62,"14,593.49"
16:00:00 - 16:59:59,645.64,807.96,576.48,"1,038.13",977.11,949.46,"1,088.95","1,120.61",989.97,817.96,"1,083.92","1,050.29","1,053.46","1,097.79","1,111.12",853.46,598.47,"1,072.45","16,933.23"
17:00:00 - 17:59:59,655.80,834.78,637.65,"1,169.27","1,014.05","1,067.26","1,143.24","1,268.08","1,031.45",898.11,"1,217.22","1,196.62","1,229.63","1,204.22","1,321.74",865.29,659.29,"1,276.55","18,690.25"
18:00:00 - 18:59:59,729.79,804.30,700.92,"1,344.77",999.67,"1,202.94","1,300.06","1,305.39",983.78,959.11,"1,332.06","1,277.27","1,306.43","1,405.42","1,347.60",908.62,716.80,"1,372.91","19,997.84"
19:00:00 - 19:59:59,773.96,803.11,730.13,908.47,"1,200.92","1,075.77","1,009.63","1,112.11",957.45,935.79,895.95,849.15,924.81,943.28,"1,117.28",625.03,700.97,873.76,"16,437.57"
20:00:00 - 20:59:59,521.64,559.47,510.29,579.29,552.12,594.64,623.64,749.97,581.32,675.64,585.46,544.80,559.31,586.15,717.30,571.64,485.47,501.30,"10,499.45"
21:00:00 - 21:59:59,388.82,383.15,334.46,349.47,361.48,361.97,396.49,544.47,462.99,446.82,280.64,373.15,373.15,368.48,430.82,443.80,405.15,352.82,"7,058.13"
22:00:00 - 22:59:59,297.15,307.64,239.33,260.50,265.63,327.99,304.49,398.81,319.32,340.82,182.48,262.32,269.16,256.99,284.82,329.98,248.66,286.31,"5,182.40"
23:00:00 - 23:59:59,234.66,260.82,177.66,197.82,196.32,197.65,218.33,278.64,287.49,220.32,148.64,207.00,196.32,213.49,257.16,311.33,178.33,181.83,"3,963.81"
Total,"9,694.02","11,141.00","8,456.88","12,649.61","12,512.36","12,391.27","12,572.40","13,603.47","13,052.93","12,016.19","12,242.34","12,887.71","12,466.24","12,681.75","13,343.91","11,746.23","8,868.78","12,768.63","215,095.72"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equipamento: EPTC-4930 - Av. João de Oliveira Remião nro 702 - B/C,,,,,,,,,,,,,,,,,,,
,Descrição,,,,,,,,,,,,,,,,,,
LOM4EP,Faixa 1 esquerda,,,,,,,,,,,,,,,,,,
LOM4FP,Faixa 2 direita,,,,,,,,,,,,,,,,,,
