Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT3AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/02/2020 até 29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
ANT3AL,00:00 - 01:00,"342,3","328,6","181,5","191,5","255,0","253,3","292,2",0,"387,5","234,6","222,5","213,1","261,8","267,0","341,3","354,4","239,1","189,5","212,0","256,6","280,0","278,0","244,5","155,8","186,6","209,7","234,8","216,3","336,3","7.165,6"
ANT3AL,01:00 - 02:00,"217,5","237,8","93,5","96,5","117,0","141,8","184,5",0,"235,7","147,7","87,5","134,7","122,3","130,7","237,6","274,2","144,5","113,8","116,5","132,0","129,7","177,0","160,3","91,5","116,8","126,5","112,0","120,5","206,7","4.206,4"
ANT3AL,02:00 - 03:00,"148,3","161,2","52,8","55,3","71,0","71,8","94,2",0,"162,0","76,7","44,2","68,8","62,3","73,7","167,7","181,7","51,5","54,5","53,3","70,7","86,3","108,8","110,7","63,7","70,8","90,3","60,8","51,2","128,3","2.492,3"
ANT3AL,03:00 - 04:00,"97,2","140,2","25,3","44,0","47,2","61,5","55,8",0,"143,6","52,5","30,8","43,7","43,7","56,3","125,2","151,2","49,3","43,8","53,3","50,0","63,5","98,0","85,0","41,3","58,2","59,3","43,2","47,2","104,0","1.914,1"
ANT3AL,04:00 - 05:00,"121,5","122,2","42,0","51,2","60,3","59,5","73,7",0,"161,0","71,2","57,3","62,8","74,2","63,8","115,8","141,8","59,0","50,0","63,0","68,5","53,0","112,5","82,5","46,5","74,2","66,3","55,3","47,7","111,3","2.167,8"
ANT3AL,05:00 - 06:00,"177,3","150,5","123,3","173,6","174,5","166,6","184,6",0,"170,0","160,3","172,6","177,5","175,0","172,5","171,8","172,7","160,5","172,2","183,8","194,8","178,5","153,8","133,3","108,5","109,3","180,0","174,6","173,8","146,1","4.591,9"
ANT3AL,06:00 - 07:00,"380,9","283,3","416,1","580,4","586,2","570,5","213,1","372,9","313,8","627,7","594,9","594,4","568,9","588,4","378,8","329,9","605,2","679,9","627,2","604,8","557,9","319,2","280,9","285,1","255,4","477,9","569,5","545,5","373,1","13.582,1"
ANT3AL,07:00 - 08:00,"461,9","281,1","571,7","835,1","833,5","825,2",0,"534,6","292,1","787,0","823,1","844,3","798,6","841,9","478,1","436,9","779,4","763,5","609,7","842,6","795,2","443,3","265,3","412,4","298,0","681,7","786,1","819,3","471,1","17.612,5"
ANT3AL,08:00 - 09:00,"506,9","245,8","590,2","817,0","863,5","782,4",0,"586,1","271,2","763,5","796,0","795,7","799,7","751,5","581,9","403,6","716,1","832,5","619,8","775,0","780,1","436,3","235,3","414,3","242,8","603,1","706,9","792,4","532,6","17.242,2"
ANT3AL,09:00 - 10:00,"589,9","322,0","525,8","717,8","398,6","721,6",0,"608,4","319,8","673,3","795,9","757,6","762,8","755,9","632,6","351,1","723,9","800,2","735,1","711,9","676,9","440,1","278,0","332,0","239,1","577,8","535,1","634,9","751,6","16.369,6"
ANT3AL,10:00 - 11:00,"578,1","426,3","449,3","626,4","267,8","688,1",0,"599,8","427,5","680,7","644,3","628,2","669,4","632,9","684,4","485,1","671,6","715,6","662,1","650,4","562,1","459,9","335,3","342,6","318,8","548,4","502,1","618,6","644,9","15.520,8"
ANT3AL,11:00 - 12:00,"628,4","457,6","442,1","610,1","652,6","608,6",0,"681,4","564,6","681,9","629,9","631,5","619,6","735,6","682,4","594,8","658,8","637,2","635,8","638,1","591,2","519,4","451,6","356,1","427,0","630,9","611,9","607,6","603,7","16.590,4"
ANT3AL,12:00 - 13:00,"621,6","389,0","451,8","657,1","585,4","599,4",0,"666,5","564,8","648,1","643,0","600,9","641,7","632,9","695,4","609,8","678,4","703,3","677,2","680,2","703,2","525,1","408,9","378,3","363,3","659,6","680,9","683,6","687,2","16.836,2"
ANT3AL,13:00 - 14:00,"590,4","299,5","672,1","642,1","688,1","653,4",0,"592,6","484,8","659,1","644,4","685,9","664,4","655,7","678,6","560,1","637,4","665,6","673,6","687,7","677,4","559,6","375,8","360,9","347,8","620,4","700,1","631,9","646,6","16.755,7"
ANT3AL,14:00 - 15:00,"587,7","327,5","693,3","468,3","716,9","662,4",0,"602,6","501,1","679,7","716,4","719,3","634,4","711,1","680,6","483,8","666,4","697,3","687,9","701,4","683,8","517,9","346,1","380,6","420,8","534,7","686,8","646,2","646,9","16.801,8"
ANT3AL,15:00 - 16:00,"595,9","365,7","498,6","189,3","666,8","676,4",0,"659,3","525,6","669,1","697,2","624,2","699,7","682,7","739,1","536,7","697,1","712,9","696,8","667,4","664,2","499,1","374,3","417,5","465,8","645,2","718,2","646,4","659,2","16.690,5"
ANT3AL,16:00 - 17:00,"609,4","380,8","479,6","438,4","695,9","715,7",0,"645,3","601,1","700,1","718,6","713,6","685,7","757,4","671,9","617,1","706,1","710,7","696,2","704,1","736,9","545,4","430,0","461,8","483,4","650,1","636,1","717,9","644,3","17.553,3"
ANT3AL,17:00 - 18:00,"644,4","416,3","726,9","759,2","766,8","756,5",0,"746,1","614,1","747,8","813,8","749,6","769,7","704,8","586,8","580,5","772,4","788,0","797,2","772,2","792,0","487,4","456,0","573,2","557,6","760,0","738,5","821,5","729,9","19.429,1"
ANT3AL,18:00 - 19:00,"665,4","520,1","752,8","775,1","793,4","777,6",0,"738,3","734,7","773,6","824,6","750,8","766,2","811,8","611,2","725,9","831,1","770,6","832,6","834,6","781,5","545,6","514,6","567,6","616,3","777,9","827,5","710,8","714,1","20.346,1"
ANT3AL,19:00 - 20:00,"691,8","544,1","792,7","669,0","757,0","724,5",0,"761,6","749,9","732,4","731,9","806,5","779,5","773,5","783,6","727,7","803,0","773,5","807,9","789,9","694,7","614,1","529,6","564,9","567,5","785,5","750,2","829,0","821,7","20.357,1"
ANT3AL,20:00 - 21:00,"632,8","466,0","645,2","657,4","680,6","706,1",0,"695,3","704,9","657,9","582,8","648,9","695,7","732,1","708,0","700,3","585,9","668,3","668,6","716,4","666,1","488,8","436,4","416,5","486,3","577,8","564,7","753,1","653,9","17.596,4"
ANT3AL,21:00 - 22:00,"557,6","393,8","493,3","500,1","520,6","534,9",0,"618,8","515,6","515,9","476,4","562,6","28,0","661,4","612,8","584,4","560,9","522,4","618,6","564,2","593,3","360,6","326,8","328,3","372,5","448,6","483,6","585,9","625,6","13.967,2"
ANT3AL,22:00 - 23:00,"505,6","292,1","452,3","484,3","473,1","529,4",0,"532,6","439,8","518,4","529,7","519,7","350,0","584,7","555,7","438,1","466,3","547,8","522,4","602,4","513,1","349,3","242,6","309,1","322,8","371,9","544,6","592,4","563,3","13.153,6"
ANT3AL,23:00 - 24:00,"425,0","182,1","325,1","336,1","378,6","421,6",0,"443,1","312,3","283,1","305,6","347,5","382,6","434,8","414,4","318,8","323,0","356,1","412,1","378,4","329,8","318,6","196,6","234,6","313,1","282,8","311,1","452,0","439,9","9.658,9"
ANT3AL,Total grupo,"11.377,7","7.733,3","10.497,2","11.375,1","12.050,1","12.708,7","1.098,0","11.085,1","10.197,5","12.542,1","12.583,4","12.681,8","12.055,9","13.213,0","12.335,5","10.760,6","12.586,6","12.969,2","12.662,4","13.094,3","12.590,1","9.357,8","7.300,4","7.643,0","7.714,1","11.366,5","12.034,6","12.745,5","12.242,3","318.601,5"
Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 2 DIREITA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT3BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/02/2020 até 29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
ANT3BL,00:00 - 01:00,"194,6","212,3","126,8","105,6","136,0","149,1","198,4","216,1","256,1","124,6","107,5","118,8","151,6","160,9","206,9","233,9","126,6","103,6","128,8","148,1","149,8","176,1","127,3","74,5","92,0","1,0","110,5","102,9","201,6","4.242,0"
