Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 1 ESQUERDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT3AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/04/2020 até 30/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
ANT3AL,00:00 - 01:00,"139,1","116,7","104,5","131,5","163,3","87,0","102,8","129,1","106,8","148,2","130,3","170,2","122,5","116,0","95,5","104,0","124,5","142,8","178,3","126,5","116,2","121,8","108,1","146,0","142,6","230,3","111,5",0,0,0,"3.515,9"
ANT3AL,01:00 - 02:00,"69,5","65,0","59,8","79,8","87,0","51,5","62,0","54,7","68,3","81,2","84,7","102,3","62,3","54,5","34,2","54,3","50,3","97,3","125,5","77,5","77,5","71,5","54,3","84,0","99,5","167,8","83,3",0,0,0,"2.059,5"
ANT3AL,02:00 - 03:00,"42,3","43,3","44,3","64,2","80,5","28,8","25,3","29,2","38,0","52,7","39,7","63,3","48,0","24,5","34,3","31,8","32,2","52,8","84,3","41,5","51,8","34,7","35,2","38,8","65,5","109,3","35,8",0,0,0,"1.272,2"
ANT3AL,03:00 - 04:00,"29,7","36,3","23,8","52,0","48,7","31,0","24,0","30,8","27,7","45,5","36,0","55,0","23,3","16,5","14,8","32,0","35,5","52,3","65,0","23,0","37,0","31,7","34,7","31,3","58,8","67,5","23,3",0,0,0,"987,2"
ANT3AL,04:00 - 05:00,"48,0","42,5","44,5","57,3","50,7","41,0","43,2","38,8","39,7","47,7","39,0","43,3","43,7","37,5","36,0","43,7","38,5","54,0","57,3","48,2","44,0","43,5","43,7","37,7","45,7","65,2","44,0",0,0,0,"1.218,0"
ANT3AL,05:00 - 06:00,"113,3","136,8","97,7","83,8","75,7","111,7","115,8","111,5","122,7","66,5","83,2","71,0","115,3","114,7","100,7","117,7","103,8","101,2","66,7","101,5","80,5","126,3","124,3","133,0","107,0","87,2","141,0",0,0,0,"2.810,2"
ANT3AL,06:00 - 07:00,"375,3","394,5","335,9","280,8","204,8","418,8","371,4","379,6","391,9","226,6","256,3","215,1","399,1","397,8","382,8","400,1","410,0","241,6","228,0","366,3","251,8","418,4","431,3","439,3","274,1","232,3","443,6",0,0,0,"9.167,4"
ANT3AL,07:00 - 08:00,"536,9","524,9","547,7","361,3","199,0","583,6","552,4","547,6","538,8","263,8","328,8","206,1","563,1","579,8","576,8","573,6","587,8","391,6","201,1","597,1","331,3","638,1","624,5","676,0","382,4","258,8","702,1",0,0,0,"12.874,8"
ANT3AL,08:00 - 09:00,"515,6","519,3","499,6","344,6","136,2","539,0","448,9","505,9","472,6","240,1","333,5","177,5","613,5","527,9","585,6","542,6","530,8","358,1","168,2","652,3","319,8","713,4","623,3","703,3","498,9","184,3","857,4",0,0,0,"12.612,1"
ANT3AL,09:00 - 10:00,"482,3","480,3","517,8","366,6","192,2","468,6","469,6","499,0","545,6","309,8","421,0","273,8","615,8","507,8","471,0","506,5","504,0","465,1","230,3","551,6","357,8","629,3","571,4","641,8","534,5","216,0","1.006,4",0,0,0,"12.835,6"
ANT3AL,10:00 - 11:00,"465,3","490,3","503,5","467,5","286,1","466,5","464,5","501,6","499,6","391,5","490,0","409,8","530,9","524,6","583,3","508,3","463,1","494,3","301,5","558,6","382,6","584,1","584,9","555,2","607,8","349,3","897,9",0,0,0,"13.362,4"
ANT3AL,11:00 - 12:00,"511,9","456,9","507,6","469,8","323,5","438,3","492,4","494,3","553,0","544,3","590,1","512,1","481,3","503,3","515,6","514,0","580,3","515,4","382,1","508,9","411,4","588,1","557,8","618,6","553,9","472,6","845,2",0,0,0,"13.942,7"
ANT3AL,12:00 - 13:00,"490,4","438,3","499,8","504,6","349,0","501,6","552,6","532,1","560,8","447,1","556,3","475,1","490,3","528,4","486,8","556,6","534,6","535,4","420,9","557,7","414,3","600,9","602,8","553,0","630,9","419,4","928,2",0,0,0,"14.167,6"
ANT3AL,13:00 - 14:00,"485,6","511,3","511,3","433,4","326,3","537,5","553,6","556,1","549,0","355,3","479,6","331,3","526,8","518,1","547,6","524,5","494,9","521,8","344,9","576,4","387,3","639,6","608,9","582,7","610,4","392,4","1.045,4",0,0,0,"13.951,9"
ANT3AL,14:00 - 15:00,"532,8","510,6","571,6","445,5","284,5","561,8","583,8","513,6","608,6","332,5","546,9","332,3","561,3","562,8","567,1","548,9","556,2","525,1","372,8","608,4","451,7","719,0","653,3","704,2","496,9","379,5","983,0",0,0,0,"14.514,5"
ANT3AL,15:00 - 16:00,"551,4","546,6","574,3","485,0","364,6","572,0","550,4","563,1","660,1","381,1","549,6","439,6","561,9","602,0","629,4","561,0","636,1","588,8","404,6","673,2","478,1","678,9","673,0","656,6","563,8","384,8","223,2",0,0,0,"14.553,0"
ANT3AL,16:00 - 17:00,"578,6","555,6","627,5","505,9","351,1","604,6","563,9","662,3","607,5","421,0","605,3","483,3","600,1","618,9","580,1","605,3","700,9","534,8","449,6","671,2","475,9","633,1","710,7","700,7","633,6","464,4",0,0,0,0,"14.945,7"
ANT3AL,17:00 - 18:00,"617,4","584,4","676,5","487,3","410,1","655,6","636,2","588,7","709,7","450,4","578,5","493,0","680,9","623,3","684,9","694,9","717,7","594,9","485,1","685,9","536,1","703,9","712,0","741,9","628,7","504,8",0,0,0,0,"15.882,5"
ANT3AL,18:00 - 19:00,"656,2","650,7","670,9","572,1","486,6","675,5","703,9","696,1","715,9","503,6","570,8","587,6","714,7","681,8","648,4","745,7","740,7","551,2","573,1","710,3","539,4","674,0","778,8","816,8","758,2","623,6",0,0,0,0,"17.046,5"
ANT3AL,19:00 - 20:00,"518,6","529,3","610,7","535,9","478,8","522,4","542,6","563,8","697,3","494,8","510,4","550,3","556,8","511,9","598,3","549,1","699,9","571,3","494,1","608,6","480,7","604,2","657,7","686,2","643,1","581,5",0,0,0,0,"14.798,2"
ANT3AL,20:00 - 21:00,"350,9","331,0","402,3","382,5","320,8","334,3","368,3","411,1","479,9","333,1","373,0","378,8","328,1","342,6","329,1","344,5","425,1","415,6","362,1","403,4","304,9","368,6","363,8","475,4","462,4","395,8",0,0,0,0,"9.787,4"
ANT3AL,21:00 - 22:00,"244,1","235,5","262,3","293,1","218,6","236,8","257,8","270,3","339,0","224,5","269,8","247,6","242,5","245,3","258,5","246,3","320,4","300,3","245,5","293,6","267,6","259,3","249,1","330,3","366,6","319,4",0,0,0,0,"7.043,8"
ANT3AL,22:00 - 23:00,"199,6","180,0","221,8","235,5","184,2","212,8","212,3","203,5","239,3","188,3","237,6","203,0","193,0","188,7","213,1","213,0","237,6","273,1","199,5","228,9","234,3","212,4","224,6","278,3","288,9","232,5",0,0,0,0,"5.735,5"
ANT3AL,23:00 - 24:00,"166,0","185,0","176,1","190,5","130,8","141,8","148,1","158,1","190,8","149,0","198,0","133,5","164,2","142,8","170,3","175,8","212,3","209,0","155,1","176,3","168,6","159,8","187,0","226,5","242,0","172,6",0,0,0,0,"4.529,8"
ANT3AL,Total grupo,"8.720,8","8.564,9","9.091,8","7.830,3","5.752,8","8.822,3","8.845,9","9.040,7","9.762,4","6.698,3","8.308,1","6.955,0","9.239,1","8.971,3","9.144,0","9.193,9","9.737,1","8.587,7","6.595,4","9.846,7","7.200,6","10.254,3","10.215,0","10.857,3","9.696,2","7.311,2","8.371,3",0,0,0,"233.614,3"
Relatório de Fluxo de Hora em Hora por Dia do Mês e UVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Endereço: AV. ANTÔNIO DE CARVALHO, 2320, N/S, FAIXA 2 DIREITA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Faixa: ANT3BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período: 01/04/2020 até 30/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipamento,Periodo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
ANT3BL,00:00 - 01:00,"57,5","55,3","51,3","78,3","89,1","47,6","55,6","51,3","51,8","76,5","46,1","85,6","48,3","26,2","0,3","71,3","64,5","69,6","93,4","36,8","62,2","56,3","53,2","63,3","83,4","65,5","35,0",0,0,0,"1.575,3"
ANT3BL,01:00 - 02:00,"23,8","23,8","17,7","29,8","29,8","16,3","25,0","17,5","20,0","25,0","31,5","30,3","15,5","16,0",0,"17,5","18,0","28,8","45,8","14,2","29,0","15,7","17,3","25,3","42,7","41,8","18,7",0,0,0,"636,7"
ANT3BL,02:00 - 03:00,"10,8","18,2","7,8","18,2","18,3","5,7","12,2","14,5","6,3","22,5","14,7","30,8","14,0","1,7",0,"10,7","8,3","14,2","20,7","13,5","21,3","12,2","10,0","16,0","25,2","38,2","5,0",0,0,0,"390,6"
ANT3BL,03:00 - 04:00,"6,3","15,0","3,7","13,2","18,7","7,0","9,7","4,3","11,7","17,5","15,3","18,7","3,3","7,0","1,0","8,3","6,2","16,3","19,7","7,3","13,7","6,0","6,0","11,3","22,8","17,8","4,0",0,0,0,"291,7"
ANT3BL,04:00 - 05:00,"13,7","11,5","13,2","14,2","17,3","9,8","10,0","14,8","14,0","11,7","14,3","12,5","20,7","14,7",0,"16,0","13,8","29,2","28,0","10,0","18,3","13,3","18,3","12,0","24,8","19,2","10,3",0,0,0,"405,5"
ANT3BL,05:00 - 06:00,"56,3","37,7","40,5","25,3","30,7","39,0","48,3","37,3","37,3","36,7","31,3","26,2","29,8","30,3","1,0","49,8","40,8","40,8","34,3","48,3","20,8","54,2","46,5","45,7","37,8","25,5","32,8",0,0,0,"985,1"
ANT3BL,06:00 - 07:00,"224,2","228,8","223,5","156,4","121,8","231,3","233,7","241,5","240,0","133,6","154,8","119,9","247,4","250,6","182,3","258,4","221,4","167,1","134,1","244,4","156,6","257,0","299,4","277,9","180,3","107,1","260,0",0,0,0,"5.553,2"
ANT3BL,07:00 - 08:00,"354,3","383,0","382,8","233,4","138,1","349,7","395,7","416,5","391,7","171,8","226,2","118,0","396,0","424,7","397,7","417,3","411,6","267,4","124,6","429,7","223,3","479,1","482,8","487,0","263,9","120,8","433,1",0,0,0,"8.920,0"
