data,equipamento,endereco,horario,volume
2020-03-01,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,370.59
2020-03-02,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,271.14
2020-03-03,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,262.47
2020-03-04,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,306.14
2020-03-05,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,245.32
2020-03-06,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,308.82
2020-03-07,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,421.13
2020-03-08,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,495.14
2020-03-09,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,286.82
2020-03-10,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,275.32
2020-03-11,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,271.31
2020-03-12,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,274.98
2020-03-13,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,397.63
2020-03-14,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,414.45
2020-03-15,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,478.30
2020-03-16,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,250.48
2020-03-17,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,206.80
2020-03-18,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,184.63
2020-03-19,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,172.81
2020-03-20,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,195.32
2020-03-21,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,205.97
2020-03-22,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,179.65
2020-03-23,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,66.66
2020-03-24,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,83.31
2020-03-25,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,121.00
2020-03-26,EPTC-4930,Av. João de Oliveira Remião defronte nro 702 - C/B,00:00:00 - 00:59:59,133.66
